ticker,quarter,date,positive,negative,neutral,sentiment_score,sector,q,risk_count,positive_count,risk_ratio
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",0.16166003048419952,0.011462821625173092,0.8268771767616272,0.15019720885902643,Tech,2020-Q4,19,75,0.2
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",0.16166003048419952,0.011462821625173092,0.8268771767616272,0.15019720885902643,Tech,2020-Q4,19,75,0.2
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",0.16166003048419952,0.011462821625173092,0.8268771767616272,0.15019720885902643,Tech,2020-Q4,19,75,0.2
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",0.16166003048419952,0.011462821625173092,0.8268771767616272,0.15019720885902643,Tech,2020-Q4,19,75,0.2
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",0.16166003048419952,0.011462821625173092,0.8268771767616272,0.15019720885902643,Tech,2020-Q4,19,75,0.2
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",0.16166003048419952,0.011462821625173092,0.8268771767616272,0.15019720885902643,Tech,2020-Q4,19,75,0.2
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",0.16166003048419952,0.011462821625173092,0.8268771767616272,0.15019720885902643,Tech,2020-Q4,19,75,0.2
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",0.16166003048419952,0.011462821625173092,0.8268771767616272,0.15019720885902643,Tech,2020-Q4,19,75,0.2
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",0.16166003048419952,0.011462821625173092,0.8268771767616272,0.15019720885902643,Tech,2020-Q4,19,75,0.2
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",0.085098035633564,0.018818067386746407,0.8960838913917542,0.06627996824681759,Auto,2020-Q2,14,32,0.2978723404255319
